Player 1 ,,Player 2,,Player 3,,Player 4 ,
Arm,Result,Arm,Result,Arm,Result,Arm,Result
A,Loss,B,Win,B,Loss,A,Win
A,Loss,B,Win,A,Loss,A,Loss
A,Loss,B,Loss,A,Win,B,Win
A,Win,B,Win,B,Win,B,Loss
A,Win,B,Win,A,Win,B,Win
A,Win,B,Loss,B,Loss,A,Loss
A,Loss,B,Loss,A,Win,B,Loss
A,Win,B,Loss,A,Loss,A,Loss
A,Loss,B,Win,A,Win,B,Loss
B,Win,B,Win,A,Win,A,Win
B,Loss,B,Loss,A,Loss,A,Win
B,Win,B,Loss,B,Win,A,Win
B,Win,A,Loss,B,Loss,B,Loss
B,Loss,A,Win,B,Win,A,Win
B,Win,A,Win,B,Loss,A,Win
B,Win,A,Loss,A,Win,A,Loss
B,Loss,A,Win,A,Win,A,Win
B,Win,A,Win,A,Win,A,Win
B,Win,A,Loss,A,Loss,A,Win
B,Loss,A,Win,A,Win,B,Win
B,Win,A,Win,A,Win,B,Win
B,Loss,A,Win,A,Win,A,Win
B,Loss,A,Win,A,Win,A,Win
A,Loss,A,Win,A,Win,A,Loss
A,Loss,A,Loss,A,Loss,B,Loss
A,Win,A,Loss,A,Loss,A,Win
A,Win,A,Win,A,Win,B,Win
A,Win,A,Win,A,Win,A,Win
A,Loss,A,Win,A,Loss,A,Win
A,Win,A,Win,A,Loss,B,Win
A,Win,A,Loss,A,Loss,A,Win
A,Win,A,Loss,B,Loss,A,Win
A,Loss,A,Win,A,Win,A,Win
A,Loss,A,Loss,A,Win,A,Win
A,Win,A,Win,A,Win,A,Win
A,Win,A,Win,A,Loss,A,Win
A,Win,A,Win,A,Loss,A,Win
A,Loss,B,Loss,A,Loss,A,Win
A,Win,B,Loss,A,Win,A,Loss
A,Loss,B,Win,A,Win,A,Win
A,Win,B,Loss,A,Loss,A,Loss
A,Win,B,Loss,A,Win,A,Win
A,Win,B,Win,A,Loss,A,Loss
A,Loss,B,Win,A,Win,A,Win
A,Win,B,Win,A,Win,A,Win
A,Loss,B,Loss,A,Loss,A,Win
A,Loss,B,Loss,A,Win,A,Loss
B,Loss,B,Win,A,Loss,A,Loss
B,Loss,B,Win,B,Win,A,Win
B,Win,B,Loss,B,Loss,A,Win
B,Loss,B,Win,A,Loss,A,Win
B,Win,B,Win,B,Loss,A,Loss
B,Loss,B,Loss,A,Win,A,Loss
B,Loss,A,Win,A,Win,B,Loss
A,Win,A,Loss,A,Win,B,Loss
A,Win,A,Win,A,Win,A,Loss
A,Loss,A,Win,A,Win,A,Loss
A,Loss,A,Win,A,Win,A,Loss
A,Win,A,Loss,A,Win,B,Loss
A,Loss,A,Loss,A,Loss,B,Win
A,Win,A,Win,B,Win,B,Win
A,Loss,A,Win,B,Loss,B,Win
A,Win,A,Win,B,Loss,B,Win
A,Loss,A,Loss,A,Win,B,Loss
A,Win,A,Win,A,Win,B,Win
A,Loss,A,Win,A,Loss,B,Win
A,Loss,A,Loss,A,Loss,B,Loss
A,Loss,A,Loss,A,Loss,B,Win
A,Loss,A,Win,B,Loss,B,Loss
B,Loss,A,Loss,A,Win,B,Win
B,Win,A,Win,A,Loss,B,Loss
B,Loss,A,Win,B,Win,B,Win
B,Loss,A,Win,B,Loss,A,Loss
B,Win,A,Win,B,Win,A,Win
B,Win,A,Win,B,Loss,A,Loss
B,Win,A,Win,A,Win,A,Win
B,Loss,A,Loss,A,Win,A,Win
B,Loss,A,Loss,A,Win,A,Win
A,Win,A,Win,A,Win,A,Win
A,Win,A,Win,A,Win,A,Win
A,Loss,A,Win,A,Win,A,Loss
A,Win,A,Win,A,Win,A,Win
A,Win,A,Loss,A,Loss,A,Win
B,Win,A,Win,A,Win,A,Win
B,Win,A,Win,A,Win,A,Win
A,Loss,A,Loss,A,Win,A,Win
A,Win,A,Loss,A,Win,A,Loss
A,Loss,A,Win,A,Win,A,Win
A,Loss,A,Loss,A,Win,A,Loss
B,Loss,A,Win,A,Loss,A,Win
A,Win,A,Win,A,Loss,A,Win
A,Win,A,Win,A,Loss,A,Loss
A,Win,A,Win,B,Loss,A,Loss
A,Win,A,Loss,A,Win,A,Win
A,Loss,A,Loss,A,Loss,A,Win
A,Win,A,Win,A,Win,A,Win
A,Loss,A,Win,A,Loss,B,Win
A,Win,A,Loss,B,Win,B,Loss
A,Win,A,Win,A,Loss,B,Loss
A,Win,A,Win,B,Win,A,Loss