Player 1 ,Player 2,Player 3,Player 4 
Arm,Arm,Arm,Arm
A,B,B,A
A,B,A,A
A,B,A,B
A,B,B,B
A,B,A,B
A,B,B,A
A,B,A,B
A,B,A,A
A,B,A,B
B,B,A,A
B,B,A,A
B,B,B,A
B,A,B,B
B,A,B,A
B,A,B,A
B,A,A,A
B,A,A,A
B,A,A,A
B,A,A,A
B,A,A,B
B,A,A,B
B,A,A,A
B,A,A,A
A,A,A,A
A,A,A,B
A,A,A,A
A,A,A,B
A,A,A,A
A,A,A,A
A,A,A,B
A,A,A,A
A,A,B,A
A,A,A,A
A,A,A,A
A,A,A,A
A,A,A,A
A,A,A,A
A,B,A,A
A,B,A,A
A,B,A,A
A,B,A,A
A,B,A,A
A,B,A,A
A,B,A,A
A,B,A,A
A,B,A,A
A,B,A,A
B,B,A,A
B,B,B,A
B,B,B,A
B,B,A,A
B,B,B,A
B,B,A,A
B,A,A,B
A,A,A,B
A,A,A,A
A,A,A,A
A,A,A,A
A,A,A,B
A,A,A,B
A,A,B,B
A,A,B,B
A,A,B,B
A,A,A,B
A,A,A,B
A,A,A,B
A,A,A,B
A,A,A,B
A,A,B,B
B,A,A,B
B,A,A,B
B,A,B,B
B,A,B,A
B,A,B,A
B,A,B,A
B,A,A,A
B,A,A,A
B,A,A,A
A,A,A,A
A,A,A,A
A,A,A,A
A,A,A,A
A,A,A,A
B,A,A,A
B,A,A,A
A,A,A,A
A,A,A,A
A,A,A,A
A,A,A,A
B,A,A,A
A,A,A,A
A,A,A,A
A,A,B,A
A,A,A,A
A,A,A,A
A,A,A,A
A,A,A,B
A,A,B,B
A,A,A,B
A,A,B,A